trial,min_weight_on_accessible,max_blocked,sum_blocked
354,0.196984,0.0000000000,0.0000000000
355,0.199504,0.0000000000,0.0000000000
356,0.197910,0.0000000000,0.0000000000
357,0.196685,0.0000000000,0.0000000000
358,0.198933,0.0000000000,0.0000000000
359,0.195634,0.0000000000,0.0000000000
360,0.197595,0.0000000000,0.0000000000
361,0.197324,0.0000000000,0.0000000000
362,0.195969,0.0000000000,0.0000000000
363,0.195773,0.0000000000,0.0000000000
364,0.196487,0.0000000000,0.0000000000
365,0.195197,0.0000000000,0.0000000000
366,0.195270,0.0000000000,0.0000000000
367,0.195538,0.0000000000,0.0000000000
368,0.196711,0.0000000000,0.0000000000
